"Palay and Corn: Area Harvested in Hectares by Ecosystem/Croptype, Quarter, Semester, Region and Province, 1987-2026"

"Ecosystem/Croptype","Geolocation","2003 Quarter 1","2003 Quarter 2","2003 Quarter 3","2003 Quarter 4","2004 Quarter 1","2004 Quarter 2","2004 Quarter 3","2004 Quarter 4","2005 Quarter 1","2005 Quarter 2","2005 Quarter 3","2005 Quarter 4","2006 Quarter 1","2006 Quarter 2","2006 Quarter 3","2006 Quarter 4","2007 Quarter 1","2007 Quarter 2","2007 Quarter 3","2007 Quarter 4","2008 Quarter 1","2008 Quarter 2","2008 Quarter 3","2008 Quarter 4","2009 Quarter 1","2009 Quarter 2","2009 Quarter 3","2009 Quarter 4","2010 Quarter 1","2010 Quarter 2","2010 Quarter 3","2010 Quarter 4","2011 Quarter 1","2011 Quarter 2","2011 Quarter 3","2011 Quarter 4","2012 Quarter 1","2012 Quarter 2","2012 Quarter 3","2012 Quarter 4","2013 Quarter 1","2013 Quarter 2","2013 Quarter 3","2013 Quarter 4","2014 Quarter 1","2014 Quarter 2","2014 Quarter 3","2014 Quarter 4","2015 Quarter 1","2015 Quarter 2","2015 Quarter 3","2015 Quarter 4","2016 Quarter 1","2016 Quarter 2","2016 Quarter 3","2016 Quarter 4","2017 Quarter 1","2017 Quarter 2","2017 Quarter 3","2017 Quarter 4","2018 Quarter 1","2018 Quarter 2","2018 Quarter 3","2018 Quarter 4","2019 Quarter 1","2019 Quarter 2","2019 Quarter 3","2019 Quarter 4","2020 Quarter 1","2020 Quarter 2","2020 Quarter 3","2020 Quarter 4","2021 Quarter 1","2021 Quarter 2","2021 Quarter 3","2021 Quarter 4","2022 Quarter 1","2022 Quarter 2","2022 Quarter 3","2022 Quarter 4","2023 Quarter 1","2023 Quarter 2","2023 Quarter 3","2023 Quarter 4","2024 Quarter 1","2024 Quarter 2","2024 Quarter 3","2024 Quarter 4"
"Irrigated Palay","....Batanes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,1.27,0.00,1.43,0.00,0.00,1.00,0.43,1.00,0.98,1.00,0.25,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Irrigated Palay","....Cagayan",26019.00,35650.00,12908.00,36795.00,25128.00,39988.00,12786.00,36837.00,21656.00,43805.00,15612.00,28906.00,24407.00,49042.00,15650.00,48367.00,24669.00,55147.00,13310.00,39501.00,28979.00,53315.00,24643.00,35909.00,27601.00,53072.00,25781.00,27880.00,25573.00,53191.00,20878.00,42043.00,28895.00,56045.00,26369.00,48263.00,19072.00,66174.00,35400.00,46578.00,40454.00,53953.00,30448.00,51372.00,35179.00,58580.00,5765.00,77408.00,31745.00,62592.00,10148.00,69760.00,25525.00,68869.00,12551.00,51622.00,25753.00,69303.00,17982.00,63020.00,30335.00,65138.00,9561.00,47547.00,25532.00,67770.00,19921.00,59860.00,27461.00,66629.00,27651.00,58082.00,29495.00,66571.00,24280.00,67116.00,37780.00,63424.00,27645.00,63800.00,37055.00,61148.00,33097.00,63625.00,38290.00,57972.00,30187.00,63034.00
"Irrigated Palay","....Isabela",79587.00,50875.00,9736.00,77996.00,80468.00,45228.00,45285.00,68990.00,79567.00,43114.00,18471.00,109455.00,78925.00,44152.00,71511.00,36268.00,83368.00,39810.00,69725.00,37115.00,59600.00,64357.00,87132.00,30355.00,66854.00,57170.00,46908.00,70700.00,40704.00,70759.00,16879.00,104096.00,76404.00,48509.00,24929.00,98578.00,49863.00,78066.00,60585.00,66764.00,83884.00,44657.00,30154.00,100085.00,64896.00,65986.00,57208.00,74276.00,71747.00,61233.00,19627.00,107928.00,63424.00,70348.00,28551.00,97121.00,63745.00,69616.00,30322.00,94626.00,81115.00,52198.00,17065.00,108531.00,74873.00,58940.00,34172.00,99115.00,62950.00,72823.00,28804.00,105383.00,60704.00,75076.00,43721.00,91169.00,55847.00,80420.00,48445.00,86789.00,64617.02,71570.00,51047.00,83790.00,84086.84,52022.00,50680.00,85629.37
"Irrigated Palay","....Nueva Vizcaya",12700.00,12810.00,13057.00,13980.00,12690.00,12650.00,13191.00,13322.00,12002.00,12500.00,13187.00,13900.00,12200.00,12750.00,13200.00,13618.00,12150.00,13250.00,13532.00,13250.00,12500.00,13030.00,13552.00,13900.00,11560.00,14006.00,13925.00,13708.00,11378.00,12182.00,13400.00,13763.00,12815.00,13072.00,13626.00,12546.00,11913.00,13924.00,13640.00,13909.00,12344.00,14865.00,13674.00,14149.00,12140.00,13799.00,12248.00,14934.00,12762.00,15496.00,12603.00,16113.00,11727.00,17389.00,13799.00,15615.00,15174.00,14091.00,13345.00,16464.00,14203.00,12259.00,13844.00,18709.00,14427.00,12360.00,12627.00,19318.00,14906.00,12208.00,12276.00,14576.00,17540.00,14683.00,11233.00,18882.00,12449.00,19374.00,10207.00,20363.25,9218.99,23334.00,10313.00,21638.00,10081.00,22232.00,8588.00,22013.00
"Irrigated Palay","....Quirino",4614.00,1664.00,258.00,5800.00,5408.00,2160.00,600.00,5910.00,2220.00,5350.00,810.00,5900.00,4034.00,3510.00,1755.00,4320.00,4560.00,3010.00,2340.00,3880.00,4860.00,3900.00,2633.00,6050.00,2950.00,6310.00,1950.00,6808.00,3792.00,3934.00,575.00,8436.00,2869.00,6631.00,425.00,9060.00,2594.00,7086.00,1460.00,8470.00,7668.00,2406.00,2406.00,7818.00,7580.00,2504.00,75.00,9292.00,3651.00,6439.00,1180.00,8171.00,6740.00,3347.00,1427.00,8476.00,4973.00,5193.00,1886.00,8108.00,5305.00,4990.00,485.73,9597.00,3185.00,7662.00,882.00,10336.00,5579.00,5756.00,1097.00,10224.00,4563.00,7564.00,1070.00,10810.00,4000.00,7708.00,1192.69,10488.50,5215.00,6539.40,2455.00,9023.00,5705.00,6026.00,1926.00,8002.00
"Irrigated Palay","....Aurora",6380.00,5070.00,3075.00,5000.00,6300.00,5148.00,3080.00,4550.00,6290.00,5150.00,3180.00,4800.00,6120.00,4900.00,3950.00,4460.00,5900.00,5700.00,4142.00,5320.00,5730.00,5662.00,4964.00,5442.00,5955.00,5625.00,4810.00,5562.00,6028.00,5637.00,4920.00,5110.00,5841.00,5824.00,4900.00,4871.00,5785.00,5840.00,4890.00,4961.00,5785.00,6120.00,4392.00,4282.00,6540.00,6140.00,4570.00,4530.00,6545.00,6235.00,3888.00,3956.00,5761.00,6388.00,4088.00,4036.00,5225.00,7284.00,6345.00,3303.00,3969.00,8663.00,6290.00,5912.00,6566.00,7737.00,4151.00,6708.00,4855.00,6306.12,4517.00,6428.00,5085.00,7500.00,6470.00,5720.00,5490.00,7154.00,3768.00,6510.00,3652.00,7746.00,3399.00,7024.70,3476.70,6771.25,4216.00,5121.00
"Irrigated Palay","....Bataan",7570.00,5450.00,3850.00,10660.00,8232.00,4605.00,4110.00,10368.00,8247.00,5456.00,4506.00,10154.00,8780.00,5689.00,4980.00,9880.00,8979.00,5518.00,4974.00,9671.00,8739.00,6227.00,4501.00,10016.00,8574.00,6874.00,4540.00,9978.00,10141.00,5649.00,4979.00,10235.00,10791.00,5500.00,3926.00,10175.00,10936.00,5505.00,3180.00,11056.00,11510.00,5416.00,4705.00,10101.00,11462.00,5486.00,4709.00,10114.00,11468.00,5410.00,4148.00,10259.00,10747.00,4522.00,3526.00,11126.00,10874.00,4534.82,2784.00,11469.00,10604.00,4571.00,3536.00,11301.00,7367.00,6705.45,2963.00,11072.00,8617.00,5942.00,2284.07,11088.00,8983.45,5537.00,1680.00,10410.52,9168.00,6482.00,730.39,10335.30,8849.00,6391.00,518.31,9904.32,8985.53,5593.00,195.53,10269.00
"Irrigated Palay","....Bulacan",15253.00,11500.00,2528.00,23500.00,14488.00,12102.00,2300.00,22675.00,13500.00,12900.00,2733.00,21920.00,17325.00,8888.00,1762.00,24557.00,16368.00,9368.00,800.00,26485.00,17927.00,11846.00,3861.00,26170.00,21907.00,9527.00,4655.00,22450.00,20600.00,10954.00,2009.00,25454.00,17490.00,14295.00,2662.00,13812.00,20330.00,15814.00,1703.00,27372.00,21855.00,16276.00,4225.00,25099.00,22100.00,16016.00,2221.00,26722.00,20841.00,16103.00,2720.00,25434.00,21275.00,17314.00,3285.00,26692.00,21115.00,17207.00,3727.00,25855.00,21100.00,18147.00,3456.00,25972.00,17273.00,18546.00,2298.00,26773.00,19829.45,18343.03,3390.30,26674.00,19934.00,16655.00,6270.00,29329.00,21057.00,19751.00,5415.00,34367.00,20273.00,19751.00,5531.00,29214.08,16555.00,18729.00,6581.00,24834.00
"Irrigated Palay","....Nueva Ecija",7500.00,87970.00,3620.00,103065.00,16048.00,81685.00,3350.00,103167.00,18713.00,81200.00,7945.00,99165.00,15268.00,81900.00,8200.00,111400.00,20750.00,86150.00,8700.00,120550.00,22855.00,87980.00,15548.00,119922.00,22403.00,98950.00,17850.00,117906.00,23425.00,100850.00,17300.00,119459.00,23620.00,102205.00,17200.00,106546.00,23720.00,103925.00,27460.00,110697.00,24130.00,109471.00,28340.00,115244.00,24939.00,111915.00,13984.00,129918.00,26660.00,109015.00,5520.00,129314.00,25265.00,109854.00,15692.00,128264.00,25800.00,110761.00,25138.00,129165.00,27435.00,113915.00,29180.00,129466.00,35540.00,114315.00,32486.21,130169.00,33852.00,115315.00,27137.00,122149.00,35056.82,115858.00,27828.00,125537.00,39218.19,114250.00,23064.42,110433.00,58342.00,111858.00,28568.00,90206.45,49235.00,112857.76,26133.00,101777.33
"Irrigated Palay","....Pampanga",25705.00,13650.00,4670.00,18850.00,25628.00,13852.00,4538.00,16540.00,25393.00,15449.00,4804.00,16333.00,26261.00,17794.00,4245.00,22675.00,27308.00,18785.00,4690.00,30871.00,27590.00,18950.00,4850.00,30880.00,27450.00,19463.00,4243.00,20655.00,27880.00,19297.00,4156.00,30323.00,26225.00,21045.00,1631.00,17005.00,31222.00,19635.00,1696.00,28524.00,31069.00,21350.00,5611.00,29255.00,32048.00,21600.00,5865.00,28393.00,32607.00,21064.00,5960.00,27130.00,31308.00,21221.00,6588.00,31303.00,32330.00,20207.00,6996.00,31281.00,31692.00,19825.00,5595.00,32561.00,31202.00,19535.00,9218.00,31234.00,26890.00,18538.00,9157.00,31567.12,29341.00,16986.00,14346.70,33917.00,32695.00,16627.70,14441.15,34419.00,33447.00,15813.00,14692.00,30269.00,29215.00,12662.03,15022.72,30506.62
